id,title,published_at,views,likes,comments,duration_seconds
Pofx_TKEce0,Using AI to analyze cricket swings,2025-08-13 01:00:32+00:00,4786,200,13.0,112
2U89cLw4u-A,Just in from the news desk 📰: Updates to Firebase Studio for full-stack AI apps,2025-08-14 16:00:04+00:00,3292,108,6.0,58
iP2lm2wdlQg,What is wrong with the timing issue and how can it be fixed? Go!,2025-08-18 13:01:17+00:00,7213,110,12.0,19
E0hrcDO3Noc,Introducing Opal,2025-08-18 19:17:20+00:00,296016,3183,267.0,124
vCxHCDbOS9A,Vibe coding,2025-08-19 01:00:50+00:00,24177,391,16.0,10
9W3CVUTuQew,What's on the news desk for Google Developers this month? Take a peek!,2025-08-19 16:00:23+00:00,4178,98,5.0,25
t0MraF45AOY,Talking to computers,2025-08-19 21:40:30+00:00,5263,293,17.0,76
8DhhZ8I2NAI,Can you tell I work at Google?,2025-08-20 04:00:09+00:00,31843,392,19.0,12
fXaeutEgjw4,"Maybe I need a hug to fix the bug? Actually, a nap sounds better.",2025-08-21 04:00:46+00:00,14594,134,11.0,10
W7ZzuiX3Cc4,"Kaggle Game Arena, AI tools in Firebase Studio, and more! - Google Developer News August 2025",2025-08-21 16:00:51+00:00,6727,148,8.0,173
a34Jaw_frDc,Solving problems with code,2025-08-22 04:00:01+00:00,5550,127,8.0,42
sxeCxg1b-5k,What will each of these lines log to the console and why? Go!,2025-08-25 13:01:36+00:00,7039,105,10.0,18
K7rNKhrQ4xo,Rating things my manager said to me,2025-08-26 04:00:19+00:00,7375,89,5.0,44
Bi-wi2q_Xog,Building with Gemini 2.5 Flash Image in Google AI Studio,2025-08-26 17:50:11+00:00,37263,1099,57.0,2628
UE-xe8y8EJ8,Upgrade your workflow with agentic coding,2025-08-26 21:06:34+00:00,3548,77,6.0,56
H6ZXujE1qBA,"Behind the scenes of Google's state-of-the-art ""nano-banana"" image model",2025-08-27 01:00:13+00:00,40784,1147,99.0,1833
4zW0iSkMHYM,How to create custom AI evaluators in Stax,2025-08-27 17:00:26+00:00,1323,40,3.0,142
ANpQEc_fWUU,Evaluate your AI with Stax,2025-08-27 17:00:40+00:00,21637,675,28.0,253
DtOeEqasQYs,Why using DRY (Don’t Repeat Yourself) too early can work against you!,2025-08-28 04:00:29+00:00,9514,268,9.0,34
0H0c1JHqTjg,Just in from the news desk 📰: Release of Dart 3.9 and Flutter 3.35,2025-08-28 16:00:02+00:00,5514,190,2.0,70
bvfTtLzWVPw,The evolved developer with Muhammad Farooq,2025-08-28 23:00:51+00:00,3677,125,14.0,3331
H3AVJ6HtNOE,Task-focused coding agents: The future of software developers,2025-08-29 04:00:19+00:00,5069,90,2.0,40
IYpt25GHB1U,Power up your LLMs: Gemini CLI and Model Context Protocol (MCP),2025-08-29 16:00:23+00:00,57607,2079,84.0,543
JLmswjJSA3w,Teamwork decoded ✅🚩,2025-08-29 23:00:20+00:00,12052,291,12.0,78
on53GnHbGw8,See what’s possible with Gemini and Gemma.,2025-09-02 23:01:01+00:00,3625,109,0.0,60
V7KlKIk9Uxw,How to prototype apps faster,2025-09-03 04:00:38+00:00,6298,192,4.0,51
MayitpBSogg,SMURF? Get the most out of your tests.,2025-09-03 16:00:44+00:00,3880,126,4.0,75
XebqcEaM5XY,#GoogleIOConnect China  was a success!,2025-09-04 04:00:41+00:00,3409,107,3.0,52
Xu1X-J-r5Xk,Introducing EmbeddingGemma: The Best-in-Class Open Model for On-Device Embeddings,2025-09-04 16:02:40+00:00,101310,4265,210.0,253
3UcZSaCXEKc,"The ""Last Mile"" of Context Window Management in AI Code assistance",2025-09-04 19:00:05+00:00,3487,142,4.0,78
BZYPZlSIAk4,Just in from the news desk 📰: Gemma 3 270M,2025-09-04 23:00:17+00:00,6539,186,11.0,58
UTdfxFyOQTI,Learn to Build with Gemini Nano-Banana (Gemini 2.5 Flash Image),2025-09-05 23:00:52+00:00,79112,771,27.0,642
8GkWFd0Xewo,What will this function actually print? Go!,2025-09-08 13:00:25+00:00,4923,81,20.0,20
L8zkQ-tRu8s,Introduction to Model Context Protocol (MCP),2025-09-09 23:00:20+00:00,11268,530,8.0,70
-ccwqJu_ASo,Creative storytelling with AI: The making of Ancestra,2025-09-10 16:00:00+00:00,2453,79,9.0,3700
o7mdsL6BHsk,GDM’s Pushmeet Kohli on solving science's biggest challenges with AI,2025-09-10 19:00:49+00:00,5619,190,20.0,2249
